type,ctc_c,u6_bonus,ps,decile,mean,pc_aftertaxinc,metr_reform
Nonref,2000,0,CL,0-10,1832.0,40.1,-32.4
Nonref,2000,0,CL,10-20,5670.0,42.7,-16.7
Nonref,2000,0,CL,20-30,6517.0,31.0,4.3
Nonref,2000,0,CL,30-40,5767.0,18.8,17.1
Nonref,2000,0,CL,40-50,4280.0,10.2,18.1
Nonref,2000,0,CL,50-60,3778.0,6.7,11.1
Nonref,2000,0,CL,60-70,3869.0,5.2,12.5
Nonref,2000,0,CL,70-80,3816.0,3.9,17.6
Nonref,2000,0,CL,80-90,3586.0,2.7,20.5
Nonref,2000,0,CL,90-95,3507.0,1.8,21.3
Nonref,2000,0,CL,95-99,2248.0,0.7,25.8
Nonref,2000,0,CL,Top 1%,244.0,0.0,28.6
Nonref,2000,0,CL,ALL,4506.0,5.6,8.7
Nonref,2000,0,NO,0-10,1832.0,40.2,-32.4
Nonref,2000,0,NO,10-20,5670.0,42.7,-16.7
Nonref,2000,0,NO,20-30,6517.0,31.0,4.3
Nonref,2000,0,NO,30-40,5767.0,18.8,17.1
Nonref,2000,0,NO,40-50,4280.0,10.2,18.1
Nonref,2000,0,NO,50-60,3778.0,6.7,11.1
Nonref,2000,0,NO,60-70,3869.0,5.2,12.5
Nonref,2000,0,NO,70-80,3816.0,3.9,17.6
Nonref,2000,0,NO,80-90,3587.0,2.7,20.5
Nonref,2000,0,NO,90-95,3513.0,1.8,21.3
Nonref,2000,0,NO,95-99,3562.0,1.1,25.2
Nonref,2000,0,NO,Top 1%,3705.0,0.3,28.6
Nonref,2000,0,NO,ALL,4586.0,5.7,8.7
Nonref,2000,0,PT,0-10,1829.0,40.1,-32.4
Nonref,2000,0,PT,10-20,5669.0,42.7,-16.7
Nonref,2000,0,PT,20-30,6517.0,31.0,4.3
Nonref,2000,0,PT,30-40,5765.0,18.8,17.1
Nonref,2000,0,PT,40-50,4278.0,10.2,18.1
Nonref,2000,0,PT,50-60,3777.0,6.7,11.1
Nonref,2000,0,PT,60-70,3832.0,5.2,13.1
Nonref,2000,0,PT,70-80,3273.0,3.3,20.8
